timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
1124719492,1,1,1,0,0,0,0,1
1125225492,1,1,1,0,0,0,0,1
1125732473,1,1,1,0,0,0,0,1
1126238617,1,1,1,0,0,0,0,1
1126744493,1,1,1,0,0,0,0,1
1127251608,1,1,1,0,0,0,0,1
1127758157,1,1,1,0,0,0,0,1
1128263517,1,1,1,0,0,0,0,1
1128769495,1,1,1,0,0,0,0,1
1129276833,1,1,1,0,0,0,0,1
1129783502,1,1,1,0,0,0,0,1
1130290599,1,1,1,0,0,0,0,1
1130796475,1,1,1,0,0,0,0,1
1131303319,1,1,1,0,0,0,0,1
1131808495,1,1,1,0,0,0,0,1
1132315489,1,1,1,0,0,0,0,1
1132821671,1,1,1,0,0,0,0,1
1133327474,1,1,1,0,0,0,0,1
1133833475,1,1,1,0,0,0,0,1
1134339524,1,1,1,0,0,0,0,1
1134846411,1,1,1,0,0,0,0,1
1135354576,1,1,1,0,0,0,0,1
1135861702,1,1,1,0,0,0,0,1
1136368475,1,1,1,0,0,0,0,1
1136874476,1,1,1,0,0,0,0,1
1137380651,1,1,1,0,0,0,0,1
1137887672,1,1,1,0,0,0,0,1
1138394491,1,1,1,0,0,0,0,1
1138901707,1,1,1,0,0,0,0,1
1139411685,1,1,1,0,0,0,0,1
1139917498,1,1,1,0,0,0,0,1
1140423501,1,1,1,0,0,0,0,1
1140931476,1,1,1,0,0,0,0,1
1141437525,1,1,1,0,0,0,0,1
1141943591,1,1,1,0,0,0,0,1
1142450476,1,1,1,0,0,0,0,1
1142957729,1,1,1,0,0,0,0,1
1143463659,1,1,1,0,0,0,0,1
1143969470,1,1,1,0,0,0,0,1
1144475498,1,1,1,0,0,0,0,1
1144982494,1,1,1,0,0,0,0,1
1145488600,1,1,1,0,0,0,0,1
1145994476,1,1,1,0,0,0,0,1
1146500499,1,1,1,0,0,0,0,1
1147007713,1,1,1,0,0,0,0,1
1147513473,1,1,1,0,0,0,0,1
1148019860,1,1,1,0,0,0,0,1
1148525529,1,1,1,0,0,0,0,1
1149033585,1,1,1,0,0,0,0,1
1149540526,1,1,1,0,0,0,0,1
1150046788,1,1,1,0,0,0,0,1
1150554223,1,1,1,0,0,0,0,1
1151059475,1,1,1,0,0,0,0,1
1151565476,1,1,1,0,0,0,0,1
1152071494,1,1,1,0,0,0,0,1
1152577473,1,1,1,0,0,0,0,1
1153084727,1,1,1,0,0,0,0,1
1153590495,1,1,1,0,0,0,0,1
1154097476,1,1,1,0,0,0,0,1
1154603475,1,1,1,0,0,0,0,1
1155110858,1,1,1,0,0,0,0,1
1155616806,1,1,1,0,0,0,0,1
1156122501,1,1,1,0,0,0,0,1
1156628527,1,1,1,0,0,0,0,1
1157134494,1,1,1,0,0,0,0,1
1157641517,1,1,1,0,0,0,0,1
1158148529,1,1,1,0,0,0,0,1
1158657207,1,1,1,0,0,0,0,1
1159162493,1,1,1,0,0,0,0,1
1159668495,1,1,1,0,0,0,0,1
1160175703,1,1,1,0,0,0,0,1
1160682526,1,1,1,0,0,0,0,1
1161188499,1,1,1,0,0,0,0,1
1161695854,1,1,1,0,0,0,0,1
1162202775,1,1,1,0,0,0,0,1
