timestamp,airspeed_filtered,mc_weights[0],mc_weights[1],mc_weights[2],mc_weights[3],vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
1936021578,-1.6850711,1.0,1.0,1.0,1.0,1,0,0,0,0
1936220478,-1.894252,1.0,1.0,1.0,1.0,1,0,0,0,0
1936424343,-2.0154762,1.0,1.0,1.0,1.0,1,0,0,0,0
1936623273,-1.4572221,1.0,1.0,1.0,1.0,1,0,0,0,0
1936824707,-1.2363372,1.0,1.0,1.0,1.0,1,0,0,0,0
1937023572,-1.2517179,1.0,1.0,1.0,1.0,1,0,0,0,0
1937222543,-1.2484607,1.0,1.0,1.0,1.0,1,0,0,0,0
1937421461,-0.8907394,1.0,1.0,1.0,1.0,1,0,0,0,0
1937620449,-0.52755165,1.0,1.0,1.0,1.0,1,0,0,0,0
1937824304,-0.2009938,1.0,1.0,1.0,1.0,1,0,0,0,0
1938023246,-0.15121785,1.0,1.0,1.0,1.0,1,0,0,0,0
1938224601,-0.39907396,1.0,1.0,1.0,1.0,1,0,0,0,0
1938423548,-0.04211188,1.0,1.0,1.0,1.0,1,0,0,0,0
1938622579,-0.31493965,1.0,1.0,1.0,1.0,1,0,0,0,0
1939022801,-0.4898877,1.0,1.0,1.0,1.0,1,0,0,0,0
1939221745,-0.42731836,1.0,1.0,1.0,1.0,1,0,0,0,0
1939423228,0.015929028,1.0,1.0,1.0,1.0,1,0,0,0,0
1939624617,0.29894587,1.0,1.0,1.0,1.0,1,0,0,0,0
1939823458,0.006568742,1.0,1.0,1.0,1.0,1,0,0,0,0
1940022423,-0.24399596,1.0,1.0,1.0,1.0,1,0,0,0,0
1940221348,-0.23960125,1.0,1.0,1.0,1.0,1,0,0,0,0
1940422731,-0.53834766,1.0,1.0,1.0,1.0,1,0,0,0,0
1940624166,-0.956208,1.0,1.0,1.0,1.0,1,0,0,0,0
1940823129,-1.2682132,1.0,1.0,1.0,1.0,1,0,0,0,0
1941024534,-1.4750905,1.0,1.0,1.0,1.0,1,0,0,0,0
1941223547,-1.5593996,1.0,1.0,1.0,1.0,1,0,0,0,0
1941422493,-1.6290771,1.0,1.0,1.0,1.0,1,0,0,0,0
1941621501,-1.6300789,1.0,1.0,1.0,1.0,1,0,0,0,0
1941820560,-1.6874903,1.0,1.0,1.0,1.0,1,0,0,0,0
1942024345,-1.528566,1.0,1.0,1.0,1.0,1,0,0,0,0
1942223373,-1.5909758,1.0,1.0,1.0,1.0,1,0,0,0,0
1942422321,-1.6191782,1.0,1.0,1.0,1.0,1,0,0,0,0
1942623796,-1.6183051,1.0,1.0,1.0,1.0,1,0,0,0,0
1942822723,-1.6777772,1.0,1.0,1.0,1.0,1,0,0,0,0
1943021721,-1.7268947,1.0,1.0,1.0,1.0,1,0,0,0,0
1943424629,-1.5457677,1.0,1.0,1.0,1.0,1,0,0,0,0
1943622920,-1.7445277,1.0,1.0,1.0,1.0,1,0,0,0,0
1943824409,-2.033155,1.0,1.0,1.0,1.0,1,0,0,0,0
1944023227,-1.4452385,1.0,1.0,1.0,1.0,1,0,0,0,0
1944222215,-1.2146891,1.0,1.0,1.0,1.0,1,0,0,0,0
1944421159,-1.0263935,1.0,1.0,1.0,1.0,1,0,0,0,0
1944622544,-0.57850355,1.0,1.0,1.0,1.0,1,0,0,0,0
1944823971,-0.46331674,1.0,1.0,1.0,1.0,1,0,0,0,0
1945022906,-0.27226377,1.0,1.0,1.0,1.0,1,0,0,0,0
1945224336,-0.17672071,1.0,1.0,1.0,1.0,1,0,0,0,0
1945423241,-0.26706704,1.0,1.0,1.0,1.0,1,0,0,0,0
1945622136,0.11123393,1.0,1.0,1.0,1.0,1,0,0,0,0
1945821101,0.39118215,1.0,1.0,1.0,1.0,1,0,0,0,0
1946022439,0.36089382,1.0,1.0,1.0,1.0,1,0,0,0,0
1946223849,0.6521901,1.0,1.0,1.0,1.0,1,0,0,0,0
1946425339,0.4875824,1.0,1.0,1.0,1.0,1,0,0,0,0
1946624207,0.25321248,1.0,1.0,1.0,1.0,1,0,0,0,0
1946823171,-0.04030295,1.0,1.0,1.0,1.0,1,0,0,0,0
1947022133,-0.37362537,1.0,1.0,1.0,1.0,1,0,0,0,0
1947220980,-0.2939898,1.0,1.0,1.0,1.0,1,0,0,0,0
1947422357,-0.7828697,1.0,1.0,1.0,1.0,1,0,0,0,0
1947623786,-0.72743356,1.0,1.0,1.0,1.0,1,0,0,0,0
1948024173,-0.9975827,1.0,1.0,1.0,1.0,1,0,0,0,0
