timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
349074174,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
350080383,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
351058782,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
352064560,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
353069501,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
354075084,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
355054212,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
356059368,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
357065234,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
358070694,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
359075430,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
360080874,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
361060097,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
362065271,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
363070194,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
364075644,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
365081161,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
366060421,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
367065755,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
368071168,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
369076290,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
370055464,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
371061099,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
372066158,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
373071370,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
374076930,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
375056417,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
376061616,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
377066588,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
378072049,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
379077541,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
380056818,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
381061287,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
382066318,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
383071769,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
384077740,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
385056464,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
386061623,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
387067140,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
388072163,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
